color,date,excellent,fair,good,link,product_id,product_name,provider,provider_link,rating,reviews,storage
(PRODUCT)Red,31_Oct_22,269.00,239.99,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-256-gb-productred-unlocked/3eef769a-9c92-4a18-8115-013a13c5f270,iPhone 8 Plus 256 GB - (Product)Red - Unlocked,iPhone 8 Plus,Phones Direct UK,https://www.backmarket.co.uk/en-gb/s/phones-direct-uk/8e67e8fd-ad92-45e1-8584-66a4296a1d30,4.4,181,256
Silver,31_Oct_22,469.98,344.00,364.05,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-silver-unlocked/87d1d523-ada8-4c34-98fb-e265be455f9f,iPhone 11 Pro 256 GB - Silver - Unlocked,iPhone 11 Pro,Loop Mobile,https://www.backmarket.co.uk/en-gb/s/loop-mobile/a7905780-155a-48a0-bdfd-149323f8cc21,4.1,408,256
Gold,31_Oct_22,493.00,328.65,364.05,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-gold-unlocked/b79d17eb-b1b8-49c4-8307-3a053176ab23,iPhone 11 Pro 256 GB - Gold - Unlocked,iPhone 11 Pro,Uber Link Ltd,https://www.backmarket.co.uk/en-gb/s/uber-link-ltd/616e236f-a83e-46c0-827d-c05f4740b8fa,4.1,408,256
Space Gray,31_Oct_22,298.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-128-gb-space-gray-unlocked/531d29d3-4162-4736-b926-c95f701da346,iPhone 8 Plus 128 GB - Space Gray - Unlocked,iPhone 8 Plus,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b,4.4,181,128
Space Gray,31_Oct_22,403.25,327.03,359.03,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-space-gray-unlocked/934ce03d-d77d-4ec3-9316-ba84614ad715,iPhone 11 Pro 256 GB - Space Gray - Unlocked,iPhone 11 Pro,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab,4.1,408,256
Silver,31_Oct_22,297.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-128-gb-silver-unlocked/31b45679-2f6e-4ae9-a13e-5f5a25a88408,iPhone 8 Plus 128 GB - Silver - Unlocked,iPhone 8 Plus,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b,4.4,181,128
Midnight green,31_Oct_22,394.00,344.00,355.99,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-midnight-green-unlocked/a998bc4e-a6ae-49ad-bfe0-298b68630d06,iPhone 11 Pro 256 GB - Midnight Green - Unlocked,iPhone 11 Pro,Loop Mobile,https://www.backmarket.co.uk/en-gb/s/loop-mobile/a7905780-155a-48a0-bdfd-149323f8cc21,4.1,408,256
Gold,31_Oct_22,299.00,234.00,249.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-128-gb-gold-unlocked/a39d1f5d-3224-45de-bea5-5892ad777e29,iPhone 8 Plus 128 GB - Gold - Unlocked,iPhone 8 Plus,GoodBuyTech,https://www.backmarket.co.uk/en-gb/s/goodbuytech/9815cd04-b74b-4ad3-8c57-6360ac25f8a1,4.4,181,128
Black,31_Oct_22,169.00,119.00,129.00,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-black-unlocked/a3b552e4-0a06-4ce4-b058-65c34948b982,iPhone 7 256 GB - Black - Unlocked,iPhone 7,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab,4.2,290,256
(PRODUCT)Red,31_Oct_22,245.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-productred-unlocked/3e27d9ea-a249-436a-99de-f18009238de8,iPhone 7 256 GB - (Product)Red - Unlocked,iPhone 7,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b,4.2,290,256
Jet Black,31_Oct_22,249.00,139.00,169.95,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-jet-black-unlocked/758a78d2-71bc-4faa-a663-b2a65b625e82,iPhone 7 256 GB - Jet Black - Unlocked,iPhone 7,MMAPHONESLTD,https://www.backmarket.co.uk/en-gb/s/mmaphonesltd/e015fdde-43ec-4196-bf57-40fce9aac878,4.2,290,256
Rose Gold,31_Oct_22,228.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-rose-gold-unlocked/74d3a602-a926-4494-9b53-da6c811a3094,iPhone 7 256 GB - Rose Gold - Unlocked,iPhone 7,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b,4.2,290,256
Gold,31_Oct_22,169.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-gold-unlocked/8545d0ca-a361-4e79-99a5-cf5df8086006,iPhone 7 256 GB - Gold - Unlocked,iPhone 7,MMAPHONESLTD,https://www.backmarket.co.uk/en-gb/s/mmaphonesltd/e015fdde-43ec-4196-bf57-40fce9aac878,4.2,290,256
Graphite,31_Oct_22,"1,200.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-graphite-unlocked/bbafec5a-2bb4-4d1a-94da-7889b0295c67,iPhone 13 Pro Max 1000 GB - Graphite - Unlocked,iPhone 13 Pro Max,BEST4TECH,https://www.backmarket.co.uk/en-gb/s/best4tech/03d04c9d-a534-4648-89d7-f8718b022d3a,4.6,121,1000
Silver,31_Oct_22,169.00,Sold out,150.00,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-silver-unlocked/e8a9150c-8127-44c6-a31c-c4c47cc8cafc,iPhone 7 256 GB - Silver - Unlocked,iPhone 7,RueZone,https://www.backmarket.co.uk/en-gb/s/ruezone/5ed71d8c-5c8a-4ed7-9a1b-e7a41863c03f,4.2,290,256
Sierra blue,31_Oct_22,"1,389.13","1,099.00",Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-sierra-blue-unlocked/372ef883-4c52-4a89-98ce-0ae3d216cad5,iPhone 13 Pro Max 1000 GB - Sierra Blue - Unlocked,iPhone 13 Pro Max,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab,4.6,121,1000
Blue,31_Oct_22,"1,055.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/gb/caa34382-eb03-46b9-a30e-9d2c2547922f,iPhone 14 Plus 256 GB - Blue - Unlocked,iPhone 14 Plus,(NI) Britain Tech Ltd,https://www.backmarket.co.uk/en-gb/s/ni-britain-tech-ltd/dbe4c2c5-4300-4645-b103-1989a366b47c,N/A,N/A,256
Silver,31_Oct_22,Sold out,"1,499.00",Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-silver-unlocked/2b172839-ecc5-43b7-b52e-f01aded97ddc,iPhone 13 Pro Max 1000 GB - Silver - Unlocked,iPhone 13 Pro Max,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab,4.6,121,1000
Midnight,31_Oct_22,"1,055.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/gb/141206ea-5786-460a-bb6f-de16e222fee3,iPhone 14 Plus 256 GB - Midnight - Unlocked,iPhone 14 Plus,(NI) Britain Tech Ltd,https://www.backmarket.co.uk/en-gb/s/ni-britain-tech-ltd/dbe4c2c5-4300-4645-b103-1989a366b47c,N/A,N/A,256
Alpine Green,31_Oct_22,"1,299.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-graphite-unlocked/f21ed65d-0d37-48ed-8adb-f5a9a95f01c7,iPhone 13 Pro Max 1000 GB - Alpine Green - Unlocked,iPhone 13 Pro Max,Getmobiles.co.uk,https://www.backmarket.co.uk/en-gb/s/getmobilescouk/396ef722-a3a2-40ae-9a60-87ae50a3df99,4.6,121,1000
Purple,31_Oct_22,"1,050.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/gb/67ec5d65-ee69-4a23-861e-86356f12b15d,iPhone 14 Plus 256 GB - Purple - Unlocked,iPhone 14 Plus,(NI) Britain Tech Ltd,https://www.backmarket.co.uk/en-gb/s/ni-britain-tech-ltd/dbe4c2c5-4300-4645-b103-1989a366b47c,N/A,N/A,256
Gold,31_Oct_22,"1,246.00",Sold out,"1,388.26",https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-gold-unlocked/d2fffd8d-f0e5-438b-aecd-e8506e52ab8d,iPhone 13 Pro Max 1000 GB - Gold - Unlocked,iPhone 13 Pro Max,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7,4.6,121,1000
Starlight,31_Oct_22,"1,055.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/gb/36ab3a80-b311-4b24-9c95-6570d2d5d3a6,iPhone 14 Plus 256 GB - Starlight - Unlocked,iPhone 14 Plus,(NI) Britain Tech Ltd,https://www.backmarket.co.uk/en-gb/s/ni-britain-tech-ltd/dbe4c2c5-4300-4645-b103-1989a366b47c,N/A,N/A,256
Alpine Green,31_Oct_22,949.99,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-512-gb-sierra-blue-unlocked/36fe3f9e-1731-4354-aaf1-c7440b7e396f,iPhone 13 Pro 512 GB - Alpine Green - Unlocked,iPhone 13 Pro,Mazuma,https://www.backmarket.co.uk/en-gb/s/mazuma/47fc1be5-f8f6-4a6a-95d7-acccf733cc00,4.5,136,512
Graphite,31_Oct_22,974.00,827.66,944.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-1000-gb-graphite-unlocked/cfd58ffc-b2b6-4079-a216-f075cd26918f,iPhone 13 Pro 1000 GB - Graphite - Unlocked,iPhone 13 Pro,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab,4.5,136,1000
Sierra blue,31_Oct_22,974.00,917.50,944.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-1000-gb-sierra-blue-unlocked/1080f60b-6d16-4280-83a1-2f920327043f,iPhone 13 Pro 1000 GB - Sierra Blue - Unlocked,iPhone 13 Pro,Loop Mobile,https://www.backmarket.co.uk/en-gb/s/loop-mobile/a7905780-155a-48a0-bdfd-149323f8cc21,4.5,136,1000
Gold,31_Oct_22,Sold out,"1,085.00",Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-1000-gb-gold-unlocked/d5167769-a85a-415d-a5eb-0fa019416271,iPhone 13 Pro 1000 GB - Gold - Unlocked,iPhone 13 Pro,(NI) Britain Tech Ltd,https://www.backmarket.co.uk/en-gb/s/ni-britain-tech-ltd/dbe4c2c5-4300-4645-b103-1989a366b47c,4.5,136,1000
Alpine Green,31_Oct_22,"1,193.50",Sold out,"1,259.00",https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-graphite-unlocked/4e29c42d-727c-4beb-a425-be0187a211e9,iPhone 13 Pro Max 512 GB - Alpine Green - Unlocked,iPhone 13 Pro Max,Mazuma,https://www.backmarket.co.uk/en-gb/s/mazuma/47fc1be5-f8f6-4a6a-95d7-acccf733cc00,4.6,121,512
Sierra blue,31_Oct_22,970.00,884.99,920.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-sierra-blue-unlocked/fe1ab4be-2963-48b3-84bd-658c516261d0,iPhone 13 Pro Max 512 GB - Sierra Blue - Unlocked,iPhone 13 Pro Max,Mazuma,https://www.backmarket.co.uk/en-gb/s/mazuma/47fc1be5-f8f6-4a6a-95d7-acccf733cc00,4.6,121,512
Silver,31_Oct_22,"1,106.76","1,110.00",Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-silver-unlocked/b9c65b50-3eca-4e6c-8c2b-0e5635893680,iPhone 13 Pro Max 512 GB - Silver - Unlocked,iPhone 13 Pro Max,BEST4TECH,https://www.backmarket.co.uk/en-gb/s/best4tech/03d04c9d-a534-4648-89d7-f8718b022d3a,4.6,121,512
Gold,31_Oct_22,Sold out,929.00,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-gold-unlocked/40d4e6e0-5348-44e8-b334-e2a92593b6f0,iPhone 13 Pro Max 512 GB - Gold - Unlocked,iPhone 13 Pro Max,Getmobiles.co.uk,https://www.backmarket.co.uk/en-gb/s/getmobilescouk/396ef722-a3a2-40ae-9a60-87ae50a3df99,4.6,121,512
Green,31_Oct_22,Sold out,599.00,680.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-256-gb-green-unlocked/a1ad833c-83f7-4987-ad98-4296836da0fb,iPhone 13 mini 256 GB - Green - Unlocked,iPhone 13 mini,Digital Techno,https://www.backmarket.co.uk/en-gb/s/digital-techno/5b611bd5-aaa3-42ac-9b7a-84e4648117a1,4.7,47,256
Midnight,31_Oct_22,Sold out,Sold out,800.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-512-gb-unlocked/7f1b1e85-d352-41a6-9386-20d1b9aab87b,iPhone 13 mini 512 GB - Midnight - Unlocked,iPhone 13 mini,(NI) Britain Tech Ltd,https://www.backmarket.co.uk/en-gb/s/ni-britain-tech-ltd/dbe4c2c5-4300-4645-b103-1989a366b47c,4.7,47,512
