date,product_name,product_id,storage,color,link,fair,good,excellent,rating,reviews,provider,provider_link
31_Oct_22,iPhone 8 Plus,iPhone 8 Plus 256 GB - (Product)Red - Unlocked,256,(PRODUCT)Red,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-256-gb-productred-unlocked/3eef769a-9c92-4a18-8115-013a13c5f270,239.99,Sold out,269.00,4.4,180,Phones Direct UK,https://www.backmarket.co.uk/en-gb/s/phones-direct-uk/8e67e8fd-ad92-45e1-8584-66a4296a1d30
31_Oct_22,iPhone 11 Pro,iPhone 11 Pro 256 GB - Gold - Unlocked,256,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-gold-unlocked/b79d17eb-b1b8-49c4-8307-3a053176ab23,322.24,360.21,493.00,4.1,409,Phones Direct UK,https://www.backmarket.co.uk/en-gb/s/phones-direct-uk/8e67e8fd-ad92-45e1-8584-66a4296a1d30
31_Oct_22,iPhone 8 Plus,iPhone 8 Plus 128 GB - Silver - Unlocked,128,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-128-gb-silver-unlocked/31b45679-2f6e-4ae9-a13e-5f5a25a88408,Sold out,Sold out,297.00,4.4,180,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b
31_Oct_22,iPhone 11 Pro,iPhone 11 Pro 256 GB - Silver - Unlocked,256,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-silver-unlocked/87d1d523-ada8-4c34-98fb-e265be455f9f,344.00,364.05,469.98,4.1,408,Loop Mobile,https://www.backmarket.co.uk/en-gb/s/loop-mobile/a7905780-155a-48a0-bdfd-149323f8cc21
31_Oct_22,iPhone 8 Plus,iPhone 8 Plus 128 GB - Gold - Unlocked,128,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-128-gb-gold-unlocked/a39d1f5d-3224-45de-bea5-5892ad777e29,234.00,249.00,299.00,4.4,181,GoodBuyTech,https://www.backmarket.co.uk/en-gb/s/goodbuytech/9815cd04-b74b-4ad3-8c57-6360ac25f8a1
31_Oct_22,iPhone 8 Plus,iPhone 8 Plus 128 GB - Space Gray - Unlocked,128,Space Gray,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-128-gb-space-gray-unlocked/531d29d3-4162-4736-b926-c95f701da346,Sold out,Sold out,298.00,4.4,180,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b
31_Oct_22,iPhone 11 Pro,iPhone 11 Pro 256 GB - Midnight Green - Unlocked,256,Midnight green,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-midnight-green-unlocked/a998bc4e-a6ae-49ad-bfe0-298b68630d06,344.00,355.99,394.00,4.1,408,Loop Mobile,https://www.backmarket.co.uk/en-gb/s/loop-mobile/a7905780-155a-48a0-bdfd-149323f8cc21
31_Oct_22,iPhone 7,iPhone 7 256 GB - Jet Black - Unlocked,256,Jet Black,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-jet-black-unlocked/758a78d2-71bc-4faa-a663-b2a65b625e82,139.00,169.95,249.00,4.2,290,MMAPHONESLTD,https://www.backmarket.co.uk/en-gb/s/mmaphonesltd/e015fdde-43ec-4196-bf57-40fce9aac878
31_Oct_22,iPhone 7,iPhone 7 256 GB - Black - Unlocked,256,Black,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-black-unlocked/a3b552e4-0a06-4ce4-b058-65c34948b982,119.00,129.00,169.00,4.2,290,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab
31_Oct_22,iPhone 7,iPhone 7 256 GB - Rose Gold - Unlocked,256,Rose Gold,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-rose-gold-unlocked/74d3a602-a926-4494-9b53-da6c811a3094,Sold out,Sold out,228.00,4.2,290,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b
