date,product_name,product_id,storage,color,link,fair,good,excellent,rating,reviews,provider,provider_link
02_Nov_22,iPhone XS Max,iPhone XS Max 64 GB - Space Gray - Unlocked,64,Space Gray,https://www.backmarket.co.uk/en-gb/p/iphone-xs-max-64-gb-space-gray-unlocked/1053e68e-a03e-44f7-9e37-fc9e28e85f41,245.97,243.07,279.19,4.3,141,Sala Phones,https://www.backmarket.co.uk/en-gb/s/sala-phones/811fca2e-0d89-43ca-93a6-8018a05ecafb
02_Nov_22,iPhone XS Max,iPhone XS Max 64 GB - Gold - Unlocked,64,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-xs-max-64-gb-gold-unlocked/e0c8f23a-e8f6-434b-b661-2aa6cf0c7bf6,236.37,288.00,272.00,4.3,141,Phones Direct UK,https://www.backmarket.co.uk/en-gb/s/phones-direct-uk/8e67e8fd-ad92-45e1-8584-66a4296a1d30
02_Nov_22,iPhone XR,iPhone XR 128 GB - Black - Unlocked,128,Black,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-black-unlocked/2963532c-c4a6-4482-bba5-11594510123d,209.81,248.93,349.00,4.5,734,Mazuma,https://www.backmarket.co.uk/en-gb/s/mazuma/47fc1be5-f8f6-4a6a-95d7-acccf733cc00
02_Nov_22,iPhone XR,iPhone XR 128 GB - Blue - Unlocked,128,Blue,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-blue-unlocked/a95ee4fa-2069-4d39-b537-c1fd085d7bed,218.25,249.99,299.99,4.5,734,WJD Repairs,https://www.backmarket.co.uk/en-gb/s/wjd-repairs/6ee42ea8-5802-4b81-bc58-598315fb1996
02_Nov_22,iPhone XR,iPhone XR 128 GB - Coral - Unlocked,128,Coral,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-coral-unlocked/d1f26a30-114e-4172-ac64-060eb5ec9869,208.66,255.05,399.00,4.5,734,Phones Direct UK,https://www.backmarket.co.uk/en-gb/s/phones-direct-uk/8e67e8fd-ad92-45e1-8584-66a4296a1d30
02_Nov_22,iPhone XR,iPhone XR 128 GB - Yellow - Unlocked,128,Yellow,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-yellow-unlocked/290214d1-607b-4539-a8e4-622a32a304ec,207.53,247.19,270.90,4.5,734,Smartech Service Limited,https://www.backmarket.co.uk/en-gb/s/smartech-service-limited/a6243cf8-9b27-4b27-8dbf-0afcec0815da
02_Nov_22,iPhone XS Max,iPhone XS Max 64 GB - Silver - Unlocked,64,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-xs-max-64-gb-silver-unlocked/c947c66c-faf1-466b-946a-9d897e26e339,248.84,279.00,310.00,4.3,141,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
02_Nov_22,iPhone XR,iPhone XR 128 GB - (Product)Red - Unlocked,128,(PRODUCT)Red,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-productred-unlocked/a34538f4-69bd-4ed8-9c1c-91c140d14445,196.57,306.00,298.85,4.5,734,Phones Direct UK,https://www.backmarket.co.uk/en-gb/s/phones-direct-uk/8e67e8fd-ad92-45e1-8584-66a4296a1d30
02_Nov_22,iPhone XR,iPhone XR 128 GB - White - Unlocked,128,White,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-white-unlocked/8e8ac04c-275c-4976-9785-f6899a71a31c,209.99,288.00,272.86,4.5,734,Phones Direct UK,https://www.backmarket.co.uk/en-gb/s/phones-direct-uk/8e67e8fd-ad92-45e1-8584-66a4296a1d30
02_Nov_22,iPhone 11,iPhone 11 256 GB - Black - Unlocked,256,Black,https://www.backmarket.co.uk/en-gb/p/iphone-11-256-gb-black-unlocked/e04ea1fb-2779-4ac8-bed5-571eb9c13102,315.62,395.27,406.34,4.3,1629,WJD Repairs,https://www.backmarket.co.uk/en-gb/s/wjd-repairs/6ee42ea8-5802-4b81-bc58-598315fb1996
