date,product_name,product_id,storage,color,link,fair,good,excellent,rating,reviews,provider,provider_link
13_Dec_22,iPhone XR,iPhone XR 64 GB - Yellow - Unlocked,64,Yellow,https://www.backmarket.co.uk/en-gb/p/iphone-xr-64-gb-yellow-unlocked/b75f5a6b-7ec9-4d8f-97ff-578b1e86fa68,-1,275.00,385.00,4.4,677,Gr8 Mobile,https://www.backmarket.co.uk/en-gb/s/gr8-mobile/299ddb58-3954-4ae6-ac2c-3b709983dd9a
13_Dec_22,iPhone XR,iPhone XR 128 GB - Yellow - Unlocked,128,Yellow,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-yellow-unlocked/290214d1-607b-4539-a8e4-622a32a304ec,229.95,306.00,313.00,4.4,677,Buyur,https://www.backmarket.co.uk/en-gb/s/buyur/850616f1-61f6-45d8-9f1b-7b372b42b727
13_Dec_22,iPhone XR,iPhone XR 256 GB - Yellow - Unlocked,256,Yellow,https://www.backmarket.co.uk/en-gb/p/iphone-xr-256-gb-yellow-unlocked/a8bd0307-0ac3-4347-beb8-2b7ffc74480c,-1,-1,440.00,4.4,677,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b
13_Dec_22,iPhone 14 Plus,iPhone 14 Plus 128 GB - Blue - Unlocked,128,Blue,https://www.backmarket.co.uk/en-gb/p/gb/5edf059e-2a54-4960-aeef-f28f014f0694,-1,-1,948.00,3.3,3,Click and Get,https://www.backmarket.co.uk/en-gb/s/click-and-get/5a1669b3-fee2-476c-81fd-8cf959ff36ae
13_Dec_22,iPhone 14 Plus,iPhone 14 Plus 256 GB - (Product)Red - Unlocked,256,(PRODUCT)Red,https://www.backmarket.co.uk/en-gb/p/gb/62b935b2-aa7e-439e-bd49-f2326c4acfb5,-1,-1,"1,050.00",3.3,3,Click and Get,https://www.backmarket.co.uk/en-gb/s/click-and-get/5a1669b3-fee2-476c-81fd-8cf959ff36ae
13_Dec_22,iPhone 14 Plus,iPhone 14 Plus 512 GB - Midnight - Unlocked,512,Midnight,https://www.backmarket.co.uk/en-gb/p/gb/fa3dcb99-2a86-456c-9843-d3982112b0df,-1,-1,"1,275.00",3.3,3,Getmobiles.co.uk,https://www.backmarket.co.uk/en-gb/s/getmobilescouk/396ef722-a3a2-40ae-9a60-87ae50a3df99
13_Dec_22,iPhone 13 Pro Max,iPhone 13 Pro Max 256 GB - Gold - Unlocked,256,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-256-gb-gold-unlocked/c1068b63-7489-4b70-af99-c36aec5badae,855.00,934.00,969.99,4.5,173,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
13_Dec_22,iPhone 13 Pro Max,iPhone 13 Pro Max 512 GB - Gold - Unlocked,512,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-gold-unlocked/40d4e6e0-5348-44e8-b334-e2a92593b6f0,860.60,915.73,"1,249.99",4.5,173,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
13_Dec_22,iPhone 13 Pro Max,iPhone 13 Pro Max 128 GB - Gold - Unlocked,128,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-128-gb-gold-unlocked/6283d6f1-7102-43f0-a884-c2615b13d96d,785.71,819.99,884.79,4.5,173,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
13_Dec_22,iPhone 13 Pro Max,iPhone 13 Pro Max 1000 GB - Gold - Unlocked,1000,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-gold-unlocked/d2fffd8d-f0e5-438b-aecd-e8506e52ab8d,934.00,"1,388.26",-1,4.5,173,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
13_Dec_22,iPhone 13 Pro Max,iPhone 13 Pro Max 128 GB - Silver - Unlocked,128,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-128-gb-silver-unlocked/d1dc3338-2bb0-40ab-b74f-e76788ea02d4,789.60,842.59,899.99,4.5,173,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
13_Dec_22,iPhone 13 Pro Max,iPhone 13 Pro Max 256 GB - Silver - Unlocked,256,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-256-gb-silver-unlocked/9fc0c813-9ef3-4a52-918b-e719c733bd69,870.00,914.00,"1,059.00",4.5,173,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
13_Dec_22,iPhone 13 Pro Max,iPhone 13 Pro Max 512 GB - Silver - Unlocked,512,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-silver-unlocked/b9c65b50-3eca-4e6c-8c2b-0e5635893680,895.00,969.99,-1,4.5,173,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
13_Dec_22,iPhone 13 Pro Max,iPhone 13 Pro Max 1000 GB - Silver - Unlocked,1000,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-silver-unlocked/2b172839-ecc5-43b7-b52e-f01aded97ddc,914.00,"1,249.99","1,399.99",4.5,173,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
13_Dec_22,iPhone 12 Pro Max,iPhone 12 Pro Max 256 GB - Silver - Unlocked,256,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-256-gb-silver-unlocked/2fe78a92-80e2-4beb-a110-6bed225cbf6f,561.10,641.82,729.99,4.1,233,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab
13_Dec_22,iPhone 12 Pro Max,iPhone 12 Pro Max 128 GB - Silver - Unlocked,128,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-128-gb-silver-unlocked/9b830725-94d9-41b6-938d-f144ffb96729,524.61,584.72,659.99,4.1,233,Uber Link Ltd,https://www.backmarket.co.uk/en-gb/s/uber-link-ltd/616e236f-a83e-46c0-827d-c05f4740b8fa
13_Dec_22,iPhone 12 Pro Max,iPhone 12 Pro Max 512 GB - Silver - Unlocked,512,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-512-gb-silver-unlocked/6a35927c-b9db-4492-bd38-1ceb19c3e9cc,623.00,684.00,"1,041.13",4.1,233,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab
