date,product_name,product_id,storage,color,link,fair,good,excellent,rating,reviews,provider,provider_link
15_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 128 GB - Alpine Green - Unlocked,128,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-128-gb-alpine-green-unlocked/5fc4224f-0179-4e41-b0e3-d88a9ce09611,974.90,860.00,898.17,4.5,141,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
15_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 256 GB - Alpine Green - Unlocked,256,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-256-gb-alpine-green-unlocked/526009f8-468a-4d78-a465-d381fb01f6b5,-1,-1,906.00,4.5,141,4gadgets,https://www.backmarket.co.uk/en-gb/s/4gadgets/439ba7d4-88d1-4e0b-bbc5-a8659764de6e
15_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 512 GB - Alpine Green - Unlocked,512,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-graphite-unlocked/4e29c42d-727c-4beb-a425-be0187a211e9,-1,"1,259.00","1,249.00",4.5,141,Getmobiles.co.uk,https://www.backmarket.co.uk/en-gb/s/getmobilescouk/396ef722-a3a2-40ae-9a60-87ae50a3df99
15_Nov_22,iPhone 7,iPhone 7 32 GB - (Product)Red - Unlocked,32,(PRODUCT)Red,https://www.backmarket.co.uk/en-gb/p/iphone-7-32-gb-red-unlocked/33939708-a0f4-4efe-aa7a-95f1eaeeffc8,-1,-1,178.00,4.1,270,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b
15_Nov_22,iPhone 13 Pro Max,iPhone 13 Pro Max 1000 GB - Alpine Green - Unlocked,1000,Alpine Green,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-graphite-unlocked/f21ed65d-0d37-48ed-8adb-f5a9a95f01c7,-1,-1,"1,299.95",4.5,141,Buyur,https://www.backmarket.co.uk/en-gb/s/buyur/850616f1-61f6-45d8-9f1b-7b372b42b727
15_Nov_22,iPhone 7,iPhone 7 128 GB - (Product)Red - Unlocked,128,(PRODUCT)Red,https://www.backmarket.co.uk/en-gb/p/iphone-7-128-gb-productred-unlocked/ccc22430-204f-46d5-8712-a810c74d74d3,102.24,150.00,199.00,4.1,270,Stock Must Go Ltd,https://www.backmarket.co.uk/en-gb/s/stock-must-go-ltd/301ff8d7-9cf7-40b4-9992-66e03c0b1fab
15_Nov_22,iPhone 7,iPhone 7 256 GB - (Product)Red - Unlocked,256,(PRODUCT)Red,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-productred-unlocked/3e27d9ea-a249-436a-99de-f18009238de8,-1,-1,245.00,4.1,270,Regents Impex Ltd,https://www.backmarket.co.uk/en-gb/s/regents-impex-ltd/e19f6676-7687-4338-bc69-4028b803794b
15_Nov_22,iPhone SE,iPhone SE 16 GB - Silver - Unlocked,16,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-se-16-gb-silver-unlocked/57386697-3371-4592-9b3d-38a82ce59773,-1,121.00,-1,3.9,156,Refurb Phone,https://www.backmarket.co.uk/en-gb/s/refurb-phone/fa746e25-afeb-452a-9b41-b8f41ea70575
15_Nov_22,iPhone SE,iPhone SE 32 GB - Silver - Unlocked,32,Silver,https://www.backmarket.co.uk/en-gb/p/iphone-se-32-gb-silver-unlocked/4b5770e0-25f0-4648-8f46-c33b9b56b81f,85.00,85.00,70.86,3.9,156,MMAPHONESLTD,https://www.backmarket.co.uk/en-gb/s/mmaphonesltd/e015fdde-43ec-4196-bf57-40fce9aac878
15_Nov_22,iPhone SE,iPhone SE 64 GB - Space Gray - Unlocked,64,Space Gray,https://www.backmarket.co.uk/en-gb/p/iphone-se-64-gb-space-gray-unlocked/39f6f9b5-4ce8-4e94-8a2b-b0b7d6781956,-1,130.00,140.00,3.9,156,Londonmagicstore UK LTD,https://www.backmarket.co.uk/en-gb/s/londonmagicstore-uk-ltd/750857c9-9c5a-44b6-8914-7d43d3864c0d
15_Nov_22,iPhone SE,iPhone SE 128 GB - Gold - Unlocked,128,Gold,https://www.backmarket.co.uk/en-gb/p/iphone-se-128-gb-gold-unlocked/bb74c206-235f-424a-bf7a-54f4f6984015,99.00,-1,109.00,3.9,156,MMAPHONESLTD,https://www.backmarket.co.uk/en-gb/s/mmaphonesltd/e015fdde-43ec-4196-bf57-40fce9aac878
15_Nov_22,iPhone XR,iPhone XR 64 GB - (Product)Red - Unlocked,64,(PRODUCT)Red,https://www.backmarket.co.uk/en-gb/p/iphone-xr-64-gb-productred-unlocked/ce6d33be-f0d3-42bc-84f3-c69c416ba32e,195.31,208.43,259.00,4.4,676,musicMagpie,https://www.backmarket.co.uk/en-gb/s/musicmagpie/e42c730e-4957-4972-832d-a010e6490ad7
15_Nov_22,iPhone XR,iPhone XR 128 GB - (Product)Red - Unlocked,128,(PRODUCT)Red,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-productred-unlocked/a34538f4-69bd-4ed8-9c1c-91c140d14445,250.04,299.00,299.99,4.4,676,BEST4TECH,https://www.backmarket.co.uk/en-gb/s/best4tech/03d04c9d-a534-4648-89d7-f8718b022d3a
15_Nov_22,iPhone XR,iPhone XR 256 GB - (Product)Red - Unlocked,256,(PRODUCT)Red,https://www.backmarket.co.uk/en-gb/p/iphone-xr-256-gb-productred-unlocked/dd11d898-29e5-4d3e-b932-14fb1bea537e,-1,319.99,330.00,4.4,676,Mazuma,https://www.backmarket.co.uk/en-gb/s/mazuma/47fc1be5-f8f6-4a6a-95d7-acccf733cc00
15_Nov_22,iPhone 13 mini,iPhone 13 mini 128 GB - Red - Unlocked,128,Red,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-128-gb-productred-unlocked/0378bae9-ff66-40d0-8f70-34a686b44523,-1,579.00,-1,4.8,45,Getmobiles.co.uk,https://www.backmarket.co.uk/en-gb/s/getmobilescouk/396ef722-a3a2-40ae-9a60-87ae50a3df99
15_Nov_22,iPhone 13 mini,iPhone 13 mini 256 GB - Starlight - Unlocked,256,Starlight,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-256-gb-unlocked/3199eef5-fe2b-48b9-bf92-aa1920c71fb7,715.75,685.30,-1,4.8,45,(NI) Britain Tech Ltd,https://www.backmarket.co.uk/en-gb/s/ni-britain-tech-ltd/dbe4c2c5-4300-4645-b103-1989a366b47c
